,Price,Address,Location,Beds,Full Baths,Half Baths,Sq. Ft,Description,Lot Size,Features
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,"This Location could be used for almost anything, close to Hospital, Residential, Great po",,"{'Architecture Style:': 'Other', 'Roof Type:': 'Unknown'}"
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,4,,,"Beautiful new construction located on a corner lot near parks & Family Rec Center. Get in early to be able to pick features. 4 bedrooms, 4 baths, 3 car garage, finished basement w/ built in media room, 2 fireplaces. Built in projector, surround sound, receivers & specially painted screen wal",0.21 Acres,"{'Age:': 'New Construction', 'Appliances:': 'Dishwasher, ', 'Basement:': 'Finished', 'Bath Features:': 'Stall Shower and Tub, ', 'Cooling:': 'Central A/C', 'Exterior:': 'Thermal Windows / Doors', 'Exterior Description:': 'Other, ', 'Exterior Living Space:': 'Deck', 'Fireplace Count:': '2 Fireplaces', 'Fireplace Description:': 'Gas', 'Flooring:': 'Hardwood, ', 'Garage Count:': '3 Car Garage', 'Garage Description:': 'Attached Garage', 'Heating - Fuel Type:': 'Gas', 'Heating Type:': 'Forced Air', 'Interior:': 'Walk-in Closet', 'Lot Description:': 'Corner', 'Road Type:': 'City / Town Street', 'Roof:': 'Asphalt Shingle Roof', 'Rooms:': 'Media Room / Home Theater', 'Sewer:': 'City', 'Style:': 'Custom', 'Water:': 'City Water'}"
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,3,,"3,154","First Built in 2009 and upgraded this year. Here it is 5/bedroom or 4/bedroom & a office, 3 full baths, Family Room & Down Stairs Bath has Heated floors, Newer Carpet Throughout, New Hardwood Floors, newer landscaping & Fence, Freshly Painted, Security System, Spinkler System, New Furnac",,"{'Age:': '6-10 Years Old', 'Amenities:': 'Vaulted Ceiling, ', 'Appliances:': 'Dishwasher, ', 'Architecture Style:': 'Ranch', 'Cooling System:': 'Central A/C', 'Exterior Type:': 'Stone, ', 'Floor Covering:': 'Carpet, ', 'Heating Fuel:': 'Natural Gas', 'Heating System:': 'Forced Air, ', 'Parking Type:': 'Garage - Attached', 'Roof Type:': 'Unknown', 'Rooms:': 'Basement, ', 'View Type:': 'Mountain'}"
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,3,1,"3,076","Beautiful Custom built home on large corner lot. Home has nice open floor plan, Gorgeous kitchen w/ beautiful cabinets, granite counter-tops, hardwood floors. Property has 2 master suites, one up, one down. One features a gas fireplace between bedroom and master bath. Living roo","Under 1/2 Acre, ","{'Age:': '1-5 Years Old', 'Appliances:': 'Dishwasher, ', 'Area Amenities:': 'Biking, ', 'Basement:': 'Full', 'Bath Features:': 'Stall Shower and Tub, ', 'Cooling:': 'Central A/C', 'Exterior:': 'Sidewalk', 'Exterior Description:': 'Stucco', 'Exterior Living Space:': 'Patio', 'Fencing:': 'Partially Fenced, ', 'Fireplace Count:': '2 Fireplaces', 'Fireplace Description:': 'Gas, ', 'Flooring:': 'Hardwood, ', 'Garage Count:': '2 Car Garage', 'Garage Description:': 'Attached Garage', 'General:': 'Smoke Detector', 'Heating - Fuel Type:': 'Gas', 'Heating Type:': 'Forced Air', 'Interior:': 'Walk-in Closet, ', 'Kitchen Features:': 'Granite Countertops, ', 'Lot Description:': 'New Development, ', 'Pre-Wiring:': 'Garage Door', 'Road Type:': 'City / Town Street', 'Roof:': 'Asphalt / Fiberglass', 'Sewer:': 'City', 'Style:': 'Post-War', 'Water:': 'City Water'}"
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,3,,"1,172",Bi-level home in established ne,"Under 1/2 Acre, ","{'Age:': '31-40 Years Old', 'Appliances:': 'Dishwasher, ', 'Basement:': 'Full', 'Body of Water:': 'Reservoir', 'Cooling:': 'No A/C', 'Exterior Description:': 'Stucco', 'Exterior Living Space:': 'Patio, ', 'Fencing:': 'Fenced Yard, ', 'Fireplace Count:': '1 Fireplace', 'Fireplace Description:': 'Fireplace, ', 'Flooring:': 'Mixed', 'Garage Count:': '2 Car Garage', 'Garage Description:': 'RV Parking, ', 'Heating - Fuel Type:': 'Gas', 'Heating Type:': 'Forced Air', 'Lot Description:': 'Access Type - Road', 'Road Type:': 'City / Town Street', 'Roof:': 'Asphalt / Fiberglass, ', 'Rooms:': 'Billiards Room', 'Sewer:': 'City', 'Style:': 'Post-War', 'Water:': 'City Water'}"
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,2,,"1,932","Open Concept 4 bedroom, 2 Full Bath home offers plenty of space, both inside and out. Oversized back yard with firepit on a corner lot with RV parking make this a must see.Call, Text, or Email: Terri Marlin, Coldwell Banker Sweetwater Realty, 307-871-7912",0.27 Acres,{'Style:': 'Bi-Level'}
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,3,,"1,676","Located in cul-de-sac, no back neighbors, home does need some TLC. Large home with 3 bedrooms and 2 full baths on the upper level. The main level has living and dining room combo, the large family room ahs gas fireplace and is next to the kitchen. The basement has 2 non conformin","Under 1/2 Acre, ","{'Age:': '21-30 Years Old', 'Appliances:': 'Dishwasher, ', 'Basement:': 'Full', 'Bath Features:': 'Stall Shower, ', 'Cooling:': 'No A/C', 'Exterior:': 'Sidewalk', 'Exterior Description:': 'Wood Siding', 'Exterior Living Space:': 'Deck, ', 'Fencing:': 'Fenced Yard', 'Fireplace Count:': '1 Fireplace', 'Fireplace Description:': 'Gas', 'Flooring:': 'Linoleum, ', 'Garage Count:': '3 Car Garage', 'Garage Description:': 'RV Parking, ', 'General:': 'Skylight', 'Heating - Fuel Type:': 'Gas', 'Heating Type:': 'Forced Air', 'Interior:': 'Walk-in Closet, ', 'Location:': 'Cul-de-sac', 'Lot Description:': 'Irregular, ', 'Road Type:': 'City / Town Street', 'Roof:': 'Asphalt Shingle Roof', 'Sewer:': 'City', 'Style:': '2 Story', 'Views:': 'Mountain', 'Water:': 'City Water', 'Zoning:': 'R-1'}"
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,2,,"1,344","Very nice tri level, all new windows, flooring, doors, furnace and hot water heater, roof in 2014. This 3 bedroom (1 has no closet) 1 3/4 bath home has large deck off patio door. All kitchen appliance stay. Great ","Under 1/2 Acre, ","{'Age:': '21-30 Years Old', 'Appliances:': 'Dishwasher, ', 'Basement:': 'Partial', 'Bath Features:': 'Stall Shower, ', 'Exterior Description:': 'Cedar Siding', 'Exterior Living Space:': 'Deck', 'Fencing:': 'Privacy Fence, ', 'Flooring:': 'Wall to Wall Carpet, ', 'Garage Count:': '2 Car Garage', 'Garage Description:': 'RV Parking, ', 'Heating - Fuel Type:': 'Gas', 'Heating Type:': 'Forced Air', 'Interior:': 'Walk-in Closet, ', 'Kitchen Features:': 'Eat-in Kitchen', 'Lot Description:': 'Level, ', 'Pre-Wiring:': 'Cable, ', 'Road Type:': 'City / Town Street', 'Roof:': 'Asphalt Shingle Roof', 'Sewer:': 'City', 'Style:': 'Multi Level', 'Views:': 'Mountain', 'Water:': 'City Water'}"
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,2,,"1,920","Remodeled home, new stove, dishwasher, microwave, new carpet and flooring,kitchen cabinets have been refinished. New vanities, sinks and fixtures in both bathrooms with a new shower in downstairs bath. This is a mus","Under 1/2 Acre, ","{'Age:': '41-50 Years Old', 'Appliances:': 'Dishwasher, ', 'Basement:': 'Finished', 'Bath Features:': 'Stall Shower, ', 'Exterior:': 'Sprinkler System, ', 'Exterior Description:': 'Vinyl Siding', 'Fencing:': 'Fenced Yard, ', 'Flooring:': 'Linoleum, ', 'Heating - Fuel Type:': 'Gas', 'Heating Type:': 'Forced Air', 'Kitchen Features:': 'Breakfast Bar', 'Road Type:': 'City / Town Street', 'Roof:': 'Metal Roof', 'Sewer:': 'Public', 'Style:': 'Post-War', 'Views:': 'Mountain', 'Water:': 'City Water'}"
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,2,,"1,664","Located 55 miles from Rock Springs along WY-191 South, near Dutch John Utah, this property makes for peaceful rural living and would be excellent for a recreation home. A very well maintained 3 bedroom 2 bath modular home on 2 acres within 15 minutes of Flaming Gorge/Antelope Flat",2.02 Acres,"{'Amenities:': 'Horse facilities', 'Appliances:': 'Dishwasher, ', 'Area Amenities:': 'Boating, ', 'Area Description:': 'Country Living, ', 'Bath Features:': 'Tub and Shower', 'Body of Water:': 'Reservoir', 'Cooling:': 'No A/C', 'Exterior:': 'Storage Shed', 'Exterior Description:': 'Hardiboard Siding', 'Flooring:': 'Linoleum, ', 'Garage Description:': 'RV Parking, ', 'General:': 'Laundry Facilities, ', 'Heating - Fuel Type:': 'Propane', 'Heating Type:': 'Forced Air', 'Interior:': 'Walk-in Closet, ', 'Kitchen Features:': 'Eat-in Kitchen, ', 'Lot Description:': 'Access Type - Road', 'Road Type:': 'Private Road', 'Roof:': 'Asphalt / Fiberglass', 'Special Market:': 'Vacation / Second Home', 'Style:': '1 Level Ranch', 'Views:': 'Mountain', 'Zoning:': 'Residential'}"
